travel_mode,TrvlTime_number,Age,indiv_trvl_frequency,HHVeh,HHsize
1,720.0,42,34,2,4
1,1299.0,52,48,4,4
1,1512.333,39,20,2,5
1,462.723,52,50,2,1
1,390.0,48,26,2,4
1,3660.0,23,24,3,5
0,648.0,71,16,0,2
1,2923.997,29,18,2,2
0,1250.0,60,11,1,3
0,120.0,31,22,1,5
1,2082.15,53,30,2,2
1,83.178,39,32,2,5
0,660.0,32,27,1,5
1,275.0,46,14,2,4
1,346.0,32,44,2,4
1,60.0,51,24,2,3
1,725.0,23,39,3,5
1,779.0,48,24,2,3
1,2326.0,61,57,3,3
0,714.0,44,5,1,4
1,660.0,56,16,1,1
1,787.0,24,15,3,4
1,2446.0,46,16,2,5
1,700.0,30,20,2,5
1,200.0,58,78,3,3
0,187.934,54,14,0,1
1,1920.0,54,75,3,5
1,1264.0,35,18,2,3
1,382.0,67,24,2,2
1,400.0,18,60,3,5
1,450.0,39,31,1,8
0,256.02,49,40,2,4
0,600.0,39,20,1,3
0,820.0,31,29,0,8
1,433.0,45,74,2,5
1,1954.65,26,24,1,4
1,542.0,28,24,2,3
1,1172.324,57,30,2,2
0,414.0,35,8,1,2
1,100.0,60,16,2,5
1,3326.0,60,24,2,4
1,950.0,56,105,3,3
1,950.0,66,16,1,1
1,400.0,55,16,2,5
0,480.0,19,4,1,13
1,1232.0,45,30,2,5
0,180.0,32,15,1,4
1,977.0,45,34,2,5
1,360.0,42,32,2,4
1,2921.0,48,80,2,6
1,182.0,32,13,1,1
1,196.0,29,34,2,4
0,350.0,41,21,0,11
0,450.0,19,7,1,9
1,600.0,40,24,2,5
1,1577.817,54,31,1,4
0,520.0,36,24,1,6
1,1009.0,36,8,2,2
1,270.0,32,48,2,4
1,1072.488,55,62,2,2
1,300.0,25,15,1,4
1,1200.0,73,34,2,2
1,255.024,32,38,2,3
1,479.737,39,26,1,5
1,625.0,37,14,2,5
0,295.512,24,7,1,2
1,180.0,39,16,2,4
1,2948.288,60,27,3,4
1,1082.0,59,11,1,2
1,260.0,57,22,2,2
1,1040.0,53,44,4,3
1,840.0,38,54,2,5
1,485.0,41,18,2,5
1,2640.0,45,36,2,4
0,176.0,72,18,2,2
1,444.0,49,18,2,5
1,513.72,36,18,1,1
1,1223.247,45,38,2,4
1,269.0,45,24,2,5
1,721.0,40,34,2,5
1,1155.152,39,105,3,3
1,750.0,58,8,1,1
1,1800.0,58,20,2,6
1,259.973,57,14,2,5
1,600.0,40,36,2,5
1,2160.0,41,74,2,5
1,740.0,83,9,1,2
1,722.0,68,26,1,2
1,389.546,44,44,2,5
1,808.0,50,44,2,4
0,150.0,25,14,0,3
1,1989.565,39,105,3,3
1,2361.149,40,27,3,4
1,3600.0,52,6,2,4
0,1100.0,17,16,2,4
1,4209.897,50,24,3,5
0,647.0,16,18,1,5
1,1500.0,63,22,2,4
0,444.0,40,19,0,9
1,184.0,54,12,1,2
1,435.9,52,28,2,3
1,2882.255,50,33,3,4
1,571.0,46,28,2,5
1,600.0,32,14,1,6
1,300.0,39,16,2,5
0,19.99998,30,8,1,2
1,2343.0,38,68,2,4
1,882.795,42,56,2,7
1,630.455,51,18,2,2
1,310.0,52,20,2,3
0,850.99998,30,23,1,2
1,300.0,39,18,2,6
1,1764.0,52,16,1,5
1,2838.0,43,36,4,3
1,871.0,70,15,1,2
1,774.0,48,14,2,5
1,497.0,49,17,1,5
0,660.0,33,34,2,3
0,308.0,70,11,0,2
1,1710.598,65,32,2,2
0,540.0,72,11,1,2
1,120.0,55,42,2,4
0,422.0,60,26,2,5
